aerodromo,tipo_ocorr,qtde_ocorr,perc_ocorr
SNJD,FALHA DO MOTOR EM VOO,1,0.01
SNIZ,INCURSÃO EM PISTA,1,0.01
SNIT,POUSO LONGO,1,0.01
SNIT,COLISÃO COM FAUNA,1,0.01
SNIG,PERDA DE CONTROLE EM VOO,1,0.01
SNIG,COM TREM DE POUSO,1,0.01
SNIF,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1,0.01
SNIC,POUSO SEM TREM,1,0.01
SNHS,OPERAÇÕES NO SOLO,1,0.01
SNHN,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNHH,POUSO BRUSCO,1,0.01
SNHH,OUTROS,1,0.01
SNHH,F.O.D.,1,0.01
SNHH,COM ROTOR,1,0.01
SNHE,PERDA DE CONTROLE NO SOLO,1,0.01
SNHD,PERDA DE CONTROLE NO SOLO,1,0.01
SNHB,COM TREM DE POUSO,1,0.01
SNGX,COM TREM DE POUSO,1,0.01
SNGW,PERDA DE CONTROLE NO SOLO,1,0.01
SNGV,PERDA DE CONTROLE NO SOLO,1,0.01
SNGU,PERDA DE CONTROLE NO SOLO,1,0.01
SNGU,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNJI,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SIPB,PERDA DE CONTROLE NO SOLO,1,0.01
SNJL,COLISÃO COM AVE,1,0.01
SNKF,PERDA DE CONTROLE NO SOLO,1,0.01
SNME,PERDA DE CONTROLE NO SOLO,1,0.01
SNME,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNMD,COM TREM DE POUSO,1,0.01
SNMA,COM TREM DE POUSO,1,0.01
SNLO,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SNLM,EXCURSÃO DE PISTA,1,0.01
SNLF,FALHA DO MOTOR EM VOO,1,0.01
SNKK,PERDA DE CONTROLE NO SOLO,1,0.01
SNKI,COM TREM DE POUSO,1,0.01
SNKH,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SNKF,FALHA DO MOTOR EM VOO,1,0.01
SNJL,COM TREM DE POUSO,1,0.01
SNKE,POUSO SEM TREM,1,0.01
SNKE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNKB,OUTROS,1,0.01
SNJX,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SNJX,ESTOURO DE PNEU,1,0.01
SNJR,EXCURSÃO DE PISTA,1,0.01
SNJO,TRÁFEGO AÉREO,1,0.01
SNJO,PERDA DE CONTROLE EM VOO,1,0.01
SNJO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNJN,POUSO SEM TREM,1,0.01
SNGS,PERDA DE CONTROLE NO SOLO,1,0.01
SNGQ,PERDA DE CONTROLE EM VOO,1,0.01
SNBG,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNGI,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1,0.01
SNDH,OUTROS,1,0.01
SNDH,CONTATO ANORMAL COM A PISTAA,1,0.01
SNDC,POUSO BRUSCO,1,0.01
SNDC,PERDA DE CONTROLE NO SOLO,1,0.01
SNDC,F.O.D.,1,0.01
SNDC,ESTOURO DE PNEU,1,0.01
SNDC,COM TREM DE POUSO,1,0.01
SNCX,ESTOURO DE PNEU,1,0.01
SNCW,FALHA DO MOTOR EM VOO,1,0.01
SNCV,FALHA DO MOTOR EM VOO,1,0.01
SNCT,VOO CONTROLADO CONTRA O TERRENO,1,0.01
SNCT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SNCT,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SNCL,POUSO LONGO,1,0.01
SNCL,PERDA DE CONTROLE NO SOLO,1,0.01
SNCL,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNCJ,PERDA DE CONTROLE NO SOLO,1,0.01
SNBS,PERDA DE CONTROLE EM VOO,1,0.01
SNBR,INCURSÃO EM PISTA,1,0.01
SNBR,FALHA DO MOTOR EM VOO,1,0.01
SNBR,ESTOURO DE PNEU,1,0.01
SNBO,FALHA DO MOTOR EM VOO,1,0.01
SNBO,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SNDH,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SNDP,CONTATO ANORMAL COM A PISTAA,1,0.01
SNDR,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SNEM,PERDA DE CONTROLE NO SOLO,1,0.01
SNGG,PERDA DE CONTROLE EM VOO,1,0.01
SNGG,FALHA DO MOTOR EM VOO,1,0.01
SNGA,PERDA DE CONTROLE EM VOO,1,0.01
SNGA,OUTROS,1,0.01
SNFX,PERDA DE CONTROLE NO SOLO,1,0.01
SNFX,OUTROS,1,0.01
SNFX,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SNFS,PERDA DE CONTROLE NO SOLO,1,0.01
SNFJ,PERDA DE CONTROLE NO SOLO,1,0.01
SNFE,COM HÉLICE,1,0.01
SNEM,FALHA DO MOTOR EM VOO,1,0.01
SNDT,FALHA DO MOTOR EM VOO,1,0.01
SNEJ,FALHA DO MOTOR EM VOO,1,0.01
SNEB,PERDA DE CONTROLE NO SOLO,1,0.01
SNDV,INDETERMINADO,1,0.01
SNDV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SNDV,FALHA DO MOTOR EM VOO,1,0.01
SNDV,COM TREM DE POUSO,1,0.01
SNDV,COM PARA-BRISAS / JANELA / PORTA,1,0.01
SNDU,POUSO SEM TREM,1,0.01
SNDT,TRÁFEGO AÉREO,1,0.01
SNDT,POUSO LONGO,1,0.01
SIPO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDTF,COM TREM DE POUSO,1,0.01
SIPB,CONTATO ANORMAL COM A PISTAA,1,0.01
SDNE,PERDA DE CONTROLE EM VOO,1,0.01
SDNB,PERDA DE CONTROLE EM VOO,1,0.01
SDNB,COM TREM DE POUSO,1,0.01
SDMV,PERDA DE CONTROLE NO SOLO,1,0.01
SDMM,POUSO LONGO,1,0.01
SDMJ,FALHA DO MOTOR EM VOO,1,0.01
SDME,POUSO SEM TREM,1,0.01
SDMC,FALHA DO MOTOR EM VOO,1,0.01
SDMC,EXCURSÃO DE PISTA,1,0.01
SDLZ,ESTOURO DE PNEU,1,0.01
SDLY,OUTROS,1,0.01
SDLP,PERDA DE CONTROLE EM VOO,1,0.01
SDLO,POUSO SEM TREM,1,0.01
SDLL,PERDA DE CONTROLE EM VOO,1,0.01
SDLL,COM TREM DE POUSO,1,0.01
SDKH,EXCURSÃO DE PISTA,1,0.01
SDKE,OUTROS,1,0.01
SDJO,POUSO SEM TREM,1,0.01
SDJO,PERDA DE CONTROLE NO SOLO,1,0.01
SDJL,PERDA DE CONTROLE NO SOLO,1,0.01
SDJL,FALHA DO MOTOR EM VOO,1,0.01
SDJC,PERDA DE CONTROLE NO SOLO,1,0.01
SDJB,ESTOURO DE PNEU,1,0.01
SDJA,PERDA DE CONTROLE EM VOO,1,0.01
SDNE,EXCURSÃO DE PISTA,1,0.01
SDNH,PERDA DE CONTROLE EM VOO,1,0.01
SDPY,PERDA DE CONTROLE NO SOLO,1,0.01
SDNH,PERDA DE CONTROLE NO SOLO,1,0.01
SDPY,FOGO NO SOLO,1,0.01
SDPW,PERDA DE CONTROLE EM VOO,1,0.01
SDPW,INCURSÃO EM PISTA,1,0.01
SDPW,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDPW,FALHA DO MOTOR EM VOO,1,0.01
SDPW,EXCURSÃO DE PISTA,1,0.01
SDPW,ESTOURO DE PNEU,1,0.01
SDPW,COM ROTOR,1,0.01
SDPW,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDPN,COM TREM DE POUSO,1,0.01
SDPG,PERDA DE CONTROLE EM VOO,1,0.01
SDPA,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDP8,EXCURSÃO DE PISTA,1,0.01
SDOW,FALHA DO MOTOR EM VOO,1,0.01
SDOW,ESTOURO DE PNEU,1,0.01
SDOR,POUSO SEM TREM,1,0.01
SDOR,PERDA DE CONTROLE NO SOLO,1,0.01
SDOI,PERDA DE CONTROLE NO SOLO,1,0.01
SDOI,OPERAÇÕES NO SOLO,1,0.01
SDNY,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1,0.01
SDNQ,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDNO,POUSO BRUSCO,1,0.01
SDNI,POUSO LONGO,1,0.01
SDJA,COM TREM DE POUSO,1,0.01
SDIP,POUSO BRUSCO,1,0.01
SDIP,OUTROS,1,0.01
SDIO,TRÁFEGO AÉREO,1,0.01
SDEN,PERDA DE CONTROLE EM VOO,1,0.01
SDEN,FALHA DO MOTOR EM VOO,1,0.01
SDEM,COM CARGAS EXTERNAS,1,0.01
SDEH,PERDA DE CONTROLE NO SOLO,1,0.01
SDEE,POUSO BRUSCO,1,0.01
SDED,PERDA DE CONTROLE EM VOO,1,0.01
SDED,FALHA DO MOTOR EM VOO,1,0.01
SDDR,FALHA DO MOTOR EM VOO,1,0.01
SDDQ,PERDA DE CONTROLE NO SOLO,1,0.01
SDCO,POUSO SEM TREM,1,0.01
SDCO,PERDA DE CONTROLE NO SOLO,1,0.01
SDCO,PERDA DE CONTROLE EM VOO,1,0.01
SDCO,PERDA DE COMPONENTE NO SOLO,1,0.01
SDCO,PERDA DE COMPONENTE EM VOO,1,0.01
SDCO,EXCURSÃO DE PISTA,1,0.01
SDCO,COLISÃO NO SOLO,1,0.01
SDCO,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDCD,POUSO LONGO,1,0.01
SDCD,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SDCD,COM TREM DE POUSO,1,0.01
SDBV,PERDA DE CONTROLE NO SOLO,1,0.01
SDBN,POUSO LONGO,1,0.01
SDBN,PERDA DE CONTROLE EM VOO,1,0.01
SDEN,PERDA DE CONTROLE NO SOLO,1,0.01
SDEN,POUSO BRUSCO,1,0.01
SDET,COLISÃO COM AVE,1,0.01
SDIH,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDIO,PERDA DE CONTROLE EM VOO,1,0.01
SDIO,FALHA DO MOTOR EM VOO,1,0.01
SDIO,COM TREM DE POUSO,1,0.01
SDIO,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDIM,POUSO LONGO,1,0.01
SDIM,POUSO BRUSCO,1,0.01
SDIM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDIM,COLISÃO COM AVE,1,0.01
SDIL,F.O.D.,1,0.01
SDIH,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1,0.01
SDIH,ESTOURO DE PNEU,1,0.01
SDFD,PERDA DE CONTROLE EM VOO,1,0.01
SDIG,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDHU,PERDA DE CONTROLE EM VOO,1,0.01
SDHP,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDGY,PERDA DE CONTROLE NO SOLO,1,0.01
SDGY,FALHA DO MOTOR EM VOO,1,0.01
SDGX,COM TREM DE POUSO,1,0.01
SDGR,INCURSÃO EM PISTA,1,0.01
SDGC,PERDA DE CONTROLE NO SOLO,1,0.01
SDGB,FALHA DO MOTOR EM VOO,1,0.01
SDFD,PERDA DE CONTROLE NO SOLO,1,0.01
SDPY,OUTROS,1,0.01
SDQ4,POUSO SEM TREM,1,0.01
SIOZ,CONTATO ANORMAL COM A PISTAA,1,0.01
SIBX,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,1,0.01
SIBO,ESTOURO DE PNEU,1,0.01
SIBK,PERDA DE CONTROLE EM VOO,1,0.01
SIBK,COM TREM DE POUSO,1,0.01
SIBH,PERDA DE CONTROLE EM VOO,1,0.01
SIBH,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SIBH,COLISÃO COM AERONAVE NO SOLO,1,0.01
SIAV,PERDA DE CONTROLE EM VOO,1,0.01
SIAQ,PERDA DE CONTROLE EM VOO,1,0.01
SIAN,PROBLEMAS FISIOLÓGICOS,1,0.01
SIAN,EXCURSÃO DE PISTA,1,0.01
SIAE,ESTOURO DE PNEU,1,0.01
SDZX,COM TREM DE POUSO,1,0.01
SDZS,PERDA DE CONTROLE NO SOLO,1,0.01
SDZD,PERDA DE CONTROLE NO SOLO,1,0.01
SDZD,OUTROS,1,0.01
SDYW,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SDYJ,COLISÃO COM AVE,1,0.01
SDYF,PERDA DE CONTROLE NO SOLO,1,0.01
SDXF,POUSO LONGO,1,0.01
SDXF,PERDA DE CONTROLE NO SOLO,1,0.01
SDWV,PERDA DE CONTROLE NO SOLO,1,0.01
SDWU,POUSO LONGO,1,0.01
SDWC,PERDA DE CONTROLE EM VOO,1,0.01
SIBO,OPERAÇÕES NO SOLO,1,0.01
SICJ,COM TREM DE POUSO,1,0.01
SDQG,EXCURSÃO DE PISTA,1,0.01
SICM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SION,OPERAÇÕES NO SOLO,1,0.01
SIOE,COLISÃO DE VEÍCULO COM AERONAVE,1,0.01
SING,FALHA DO MOTOR EM VOO,1,0.01
SIMQ,POUSO BRUSCO,1,0.01
SIMB,FALHA DO MOTOR EM VOO,1,0.01
SILT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SILQ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SILQ,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,1,0.01
SILC,COLISÃO COM FAUNA,1,0.01
SIKC,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SIJY,PERDA DE CONTROLE EM VOO,1,0.01
SIJG,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,1,0.01
SIHC,VOO CONTROLADO CONTRA O TERRENO,1,0.01
SIHC,COLISÃO COM AVE,1,0.01
SIFW,PERDA DE CONTROLE EM VOO,1,0.01
SIFV,F.O.D.,1,0.01
SIFQ,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SIFH,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SIFC,POUSO LONGO,1,0.01
SIFC,OPERAÇÃO A BAIXA ALTITUDE,1,0.01
SIFC,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SIFC,FALHA DO MOTOR NO SOLO,1,0.01
SIEK,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SDW6,PERDA DE CONTROLE NO SOLO,1,0.01
SDVO,PERDA DE CONTROLE NO SOLO,1,0.01
SDVL,PERDA DE CONTROLE NO SOLO,1,0.01
SDVK,COM TREM DE POUSO,1,0.01
SDTB,PERDA DE CONTROLE EM VOO,1,0.01
SDTB,OUTROS,1,0.01
SDTB,FALHA DO MOTOR EM VOO,1,0.01
SDTB,COM TREM DE POUSO,1,0.01
SDTB,COLISÃO COM AVE,1,0.01
SDSC,PERDA DE CONTROLE NO SOLO,1,0.01
SDSC,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)",1,0.01
SDRV,PERDA DE CONTROLE EM VOO,1,0.01
SDRV,EXCURSÃO DE PISTA,1,0.01
SDRS,POUSO SEM TREM,1,0.01
SDRS,FALHA DO MOTOR EM VOO,1,0.01
SDRS,EXCURSÃO DE PISTA,1,0.01
SDRS,CONTATO ANORMAL COM A PISTAA,1,0.01
SDRQ,PERDA DE CONTROLE NO SOLO,1,0.01
SDRP,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDRK,POUSO BRUSCO,1,0.01
SDRK,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDRK,FALHA DO MOTOR EM VOO,1,0.01
SDRK,COM TREM DE POUSO,1,0.01
SDRK,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SDRJ,PERDA DE COMPONENTE NO SOLO,1,0.01
SDRE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDRC,PERDA DE CONTROLE NO SOLO,1,0.01
SDTB,POUSO SEM TREM,1,0.01
SDTF,COLISÃO COM AVE,1,0.01
SNMH,PERDA DE CONTROLE EM VOO,1,0.01
SDUB,POUSO LONGO,1,0.01
SDVI,PERDA DE CONTROLE EM VOO,1,0.01
SDVH,POUSO SEM TREM,1,0.01
SDVH,POUSO LONGO,1,0.01
SDVH,PANE SECA,1,0.01
SDVH,OUTROS,1,0.01
SDVH,MANOBRA ABRUPTA,1,0.01
SDVG,POUSO SEM TREM,1,0.01
SDVE,INDETERMINADO,1,0.01
SDVE,EXCURSÃO DE PISTA,1,0.01
SDUL,PANE SECA,1,0.01
SDUB,OUTROS,1,0.01
SDTF,EXCURSÃO DE PISTA,1,0.01
SDUB,OPERAÇÃO A BAIXA ALTITUDE,1,0.01
SDUB,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDUB,COM HÉLICE,1,0.01
SDTO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SDTK,VOO CONTROLADO CONTRA O TERRENO,1,0.01
SDTK,ESTOURO DE PNEU,1,0.01
SDTK,COM TREM DE POUSO,1,0.01
SDTI,PERDA DE CONTROLE EM VOO,1,0.01
SDTF,POUSO ANTES DA PISTA,1,0.01
SDTF,PERDA DE CONTROLE NO SOLO,1,0.01
SNMH,EXCURSÃO DE PISTA,1,0.01
SSAQ,PERDA DE CONTROLE NO SOLO,1,0.01
SNML,COM TREM DE POUSO,1,0.01
SWFN,POUSO SEM TREM,1,0.01
SWFN,POUSO BRUSCO,1,0.01
SWFN,FALHA DO MOTOR EM VOO,1,0.01
SWFN,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWEW,COM TREM DE POUSO,1,0.01
SWEQ,PERDA DE CONTROLE NO SOLO,1,0.01
SWEN,POUSO LONGO,1,0.01
SWEN,FALHA DO MOTOR NO SOLO,1,0.01
SWEN,COM TREM DE POUSO,1,0.01
SWEK,POUSO LONGO,1,0.01
SWEK,POUSO BRUSCO,1,0.01
SWEJ,POUSO SEM TREM,1,0.01
SWEJ,PERDA DE CONTROLE EM VOO,1,0.01
SWEJ,EXCURSÃO DE PISTA,1,0.01
SWEJ,COM TREM DE POUSO,1,0.01
SWEI,COLISÃO DE VEÍCULO COM AERONAVE,1,0.01
SWEF,PERDA DE CONTROLE NO SOLO,1,0.01
SWDC,PERDA DE CONTROLE NO SOLO,1,0.01
SWCZ,POUSO ANTES DA PISTA,1,0.01
SWCZ,PERDA DE CONTROLE NO SOLO,1,0.01
SWCA,PERDA DE CONTROLE EM VOO,1,0.01
SWCA,PERDA DE COMPONENTE EM VOO,1,0.01
SWCA,OUTROS,1,0.01
SWCA,FALHA DO MOTOR EM VOO,1,0.01
SWFN,POUSO LONGO,1,0.01
SWFR,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SSPV,COM TREM DE POUSO,1,0.01
SWFR,EXCURSÃO DE PISTA,1,0.01
SWJN,ESTOURO DE PNEU,1,0.01
SWJA,POUSO LONGO,1,0.01
SWJA,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWIT,POUSO LONGO,1,0.01
SWIN,OUTROS,1,0.01
SWHP,PERDA DE COMPONENTE EM VOO,1,0.01
SWHP,COM TREM DE POUSO,1,0.01
SWHP,COLISÃO NO SOLO,1,0.01
SWGW,CONTATO ANORMAL COM A PISTAA,1,0.01
SWGP,PERDA DE COMPONENTE NO SOLO,1,0.01
SWGN,PERDA DE CONTROLE NO SOLO,1,0.01
SWGN,OUTROS,1,0.01
SWGN,FALHA DO MOTOR EM VOO,1,0.01
SWGM,POUSO SEM TREM,1,0.01
SWGL,INDETERMINADO,1,0.01
SWGI,PERDA DE CONTROLE EM VOO,1,0.01
SWGC,PERDA DE CONTROLE NO SOLO,1,0.01
SWFX,PERDA DE CONTROLE NO SOLO,1,0.01
SWFX,F.O.D.,1,0.01
SWFX,AERÓDROMO,1,0.01
SWFV,PERDA DE CONTROLE EM VOO,1,0.01
SWFR,PERDA DE CONTROLE EM VOO,1,0.01
SWFR,OUTROS,1,0.01
SWCA,EXCURSÃO DE PISTA,1,0.01
SWCA,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SWCA,COLISÃO COM AVE,1,0.01
SWBE,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SSSZ,PERDA DE CONTROLE EM VOO,1,0.01
SSSS,INDETERMINADO,1,0.01
SSSG,COM PARA-BRISAS / JANELA / PORTA,1,0.01
SSSE,PANE SECA,1,0.01
SSSC,TRÁFEGO AÉREO,1,0.01
SSSC,PERDA DE CONTROLE NO SOLO,1,0.01
SSSC,FALHA DO MOTOR EM VOO,1,0.01
SSSB,POUSO BRUSCO,1,0.01
SSRZ,POUSO EM LOCAL NÃO PREVISTO,1,0.01
SSRZ,PERDA DE CONTROLE EM VOO,1,0.01
SSRS,POUSO SEM TREM,1,0.01
SSRS,PERDA DE CONTROLE EM VOO,1,0.01
SSRS,EXCURSÃO DE PISTA,1,0.01
SSRS,COLISÃO COM AERONAVE NO SOLO,1,0.01
SSRB,INDETERMINADO,1,0.01
SSRA,EXCURSÃO DE PISTA,1,0.01
SSQZ,PERDA DE CONTROLE NO SOLO,1,0.01
SSQZ,PERDA DE CONTROLE EM VOO,1,0.01
SSQW,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,1,0.01
SSQT,PERDA DE CONTROLE NO SOLO,1,0.01
SSQQ,EXCURSÃO DE PISTA,1,0.01
SSQQ,COM TREM DE POUSO,1,0.01
SSQI,PERDA DE CONTROLE EM VOO,1,0.01
SSTH,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,1,0.01
SSTH,PERDA DE CONTROLE EM VOO,1,0.01
SSTL,POUSO SEM TREM,1,0.01
SSXO,PERDA DE CONTROLE EM VOO,1,0.01
SWBC,EXCURSÃO DE PISTA,1,0.01
SWBC,ESTOURO DE PNEU,1,0.01
SWBB,PERDA DE CONTROLE NO SOLO,1,0.01
SWBB,PERDA DE CONTROLE EM VOO,1,0.01
SWAT,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SWAQ,PERDA DE CONTROLE NO SOLO,1,0.01
SSZR,POUSO LONGO,1,0.01
SSZR,FALHA DO MOTOR EM VOO,1,0.01
SSZR,COLISÃO COM OBSTÁCULOS NO SOLO,1,0.01
SSZL,AERÓDROMO,1,0.01
SSXO,EXCURSÃO DE PISTA,1,0.01
SSUB,COLISÃO COM AVE,1,0.01
SSWF,OPERAÇÃO A BAIXA ALTITUDE,1,0.01
SSVS,PERDA DE CONTROLE NO SOLO,1,0.01
SSVN,PERDA DE CONTROLE NO SOLO,1,0.01
SSVL,CONTATO ANORMAL COM A PISTAA,1,0.01
SSVI,CONTATO ANORMAL COM A PISTAA,1,0.01
SSVI,COM TREM DE POUSO,1,0.01
SSVA,PERDA DE CONTROLE NO SOLO,1,0.01
SSUV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SSUM,AERÓDROMO,1,0.01
SSUL,FALHA DO MOTOR EM VOO,1,0.01
SWJN,FALHA DO MOTOR EM VOO,1,0.01
SWJN,PERDA DE CONTROLE EM VOO,1,0.01
SWJP,PERDA DE CONTROLE NO SOLO,1,0.01
SWPI,F.O.D.,1,0.01
SWSL,PERDA DE CONTROLE EM VOO,1,0.01
SWSI,PERDA DE CONTROLE NO SOLO,1,0.01
SWSI,OUTROS,1,0.01
SWSI,FALHA DO MOTOR EM VOO,1,0.01
SWRZ,ESTOURO DE PNEU,1,0.01
SWRW,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWRO,FALHA DO MOTOR EM VOO,1,0.01
SWRO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWRD,TRÁFEGO AÉREO,1,0.01
SWRD,POUSO SEM TREM,1,0.01
SWRD,POUSO ANTES DA PISTA,1,0.01
SWRD,OUTROS,1,0.01
SWRD,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SWRD,EXCURSÃO DE PISTA,1,0.01
SWRD,COLISÃO COM AVE,1,0.01
SWQI,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWQE,COM TREM DE POUSO,1,0.01
SWQC,PERDA DE CONTROLE EM VOO,1,0.01
SWPY,TRÁFEGO AÉREO,1,0.01
SWPY,FALHA DO MOTOR EM VOO,1,0.01
SWPY,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWPQ,FALHA DO MOTOR EM VOO,1,0.01
SWPM,PERDA DE CONTROLE EM VOO,1,0.01
SWTO,FALHA DO MOTOR EM VOO,1,0.01
SWTS,COM PARA-BRISAS / JANELA / PORTA,1,0.01
SWTS,EXCURSÃO DE PISTA,1,0.01
SWWA,ESTOURO DE PNEU,1,0.01
SDBK,PERDA DE CONTROLE NO SOLO,1,0.01
SWYV,PERDA DE CONTROLE EM VOO,1,0.01
SWYH,FALHA DO MOTOR EM VOO,1,0.01
SWXV,POUSO SEM TREM,1,0.01
SWXV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SWXQ,POUSO BRUSCO,1,0.01
SWXQ,PERDA DE CONTROLE EM VOO,1,0.01
SWXJ,FALHA DO MOTOR EM VOO,1,0.01
SWWU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SWWF,COM TREM DE POUSO,1,0.01
SWVZ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SWTS,FALHA DO MOTOR EM VOO,1,0.01
SWVW,FALHA DO MOTOR EM VOO,1,0.01
SWVR,COM TREM DE POUSO,1,0.01
SWVI,POUSO BRUSCO,1,0.01
SWVC,FALHA DO MOTOR EM VOO,1,0.01
SWUZ,TRÁFEGO AÉREO,1,0.01
SWUZ,PERDA DE CONTROLE EM VOO,1,0.01
SWUZ,EXCURSÃO DE PISTA,1,0.01
SWUV,COLISÃO COM FAUNA,1,0.01
SWUQ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,1,0.01
SWUQ,ESTOURO DE PNEU,1,0.01
SWPI,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1,0.01
SWPI,COM PARA-BRISAS / JANELA / PORTA,1,0.01
SWJW,PERDA DE CONTROLE EM VOO,1,0.01
SWPD,POUSO SEM TREM,1,0.01
SWME,CONTATO ANORMAL COM A PISTAA,1,0.01
SWLW,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,1,0.01
SWLV,VOO CONTROLADO CONTRA O TERRENO,1,0.01
SWLV,PERDA DE CONTROLE EM VOO,1,0.01
SWLV,FALHA OU MAU FUNCIONAMENTO DO MOTOR,1,0.01
SWLV,CONTATO ANORMAL COM A PISTAA,1,0.01
